,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88
0,[0.6850206101788487],[0.6701995263594296],[0.5957148740938386],[0.5851299731251712],[0.5418319294619899],[0.5870238367468458],[0.5754791214959456],[0.5643302486198338],[0.543541246322765],[0.5813605414400401],[0.6658957526285548],[0.5972297435128379],[0.6883032445550054],[0.5837342122017418],[0.6044085072557263],[0.5878194725272627],[0.5394760628680838],[0.631703088967739],[0.606915419386357],"[0.8272169627478612, 0.6545516331370138]",[0.5239109510228779],[0.5236234552956257],[0.561286154996957],[0.6605271640230822],[0.5631660711086305],[0.6956417166471266],[0.5431464372248245],[0.655000361255049],[0.5922556528779841],[0.6696240767045147],[0.5698267926755435],[0.5912437130961985],[0.594088475218735],[0.6291848156674149],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,[0.5834678868980949],[0.5797855863222008],[0.5526613273858582],[0.4978805167835748],[0.5147224594126905],[0.5196578079736488],[0.5705468793090327],[0.4574586509671771],[0.550038232549559],[0.5971645149107911],[0.5115758449625822],[0.5712445942213693],[0.46550579641910833],[0.5907763056507574],[0.5087907057059172],[0.5832222312707271],[0.5838955465315468],[0.5514841977241324],[0.5180075124947843],[0.5441963431049812],[0.42319777365604405],[0.5608467605762544],[0.5248516331320862],[0.5312201999528604],[0.6508421884546012],[0.5664894014593362],[0.5812002511845046],[0.5124010320903166],[0.5852912797618209],[0.615648013374902],[0.5985071506182686],[0.550421904488316],[0.6151005665477494],[0.5687659230267703],[0.5494446503742388],[0.5954231227345121],[0.5314634326639133],[0.5177962610351301],[0.5592888735503564],[0.5803032793029809],[0.5503576561758047],[0.6425654836957287],[0.5045979713900083],[0.5812151632438722],[0.5177269766451637],"[0.7374681021762904, 0.5526456857680307]",[0.5533860384426431],[0.5660040516741922],[0.5234326099425858],[0.575985802656758],[0.564246283196296],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,[0.6029050306469671],[0.6566646994195732],[0.6381793321784721],[0.6332470951214845],[0.6108794522025875],[0.6339575115136099],[0.5995299911517474],[0.6370127198906661],[0.6156814789920881],[0.6026677879132043],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,[0.5784169926458838],[0.5165268726751655],[0.5139843017631619],[0.5666274035169221],[0.6005815861868776],[0.5318592907654466],[0.5313375428156316],[0.5262138049561667],[0.5293611460071532],[0.5174540708107177],[0.5230820158742864],[0.6028299833958299],[0.6392351668549021],[0.46066683352703347],[0.5220720844581279],[0.6474844996602394],[0.5162311833762495],[0.516398679959466],[0.542084841540763],[0.5967354668100521],[0.4427102758480915],[0.5753519145647532],[0.6206554424725268],[0.6269923234489143],[0.6559715076001571],[0.6920906898769544],[0.7096606718639911],[0.5875916458072994],[0.6641800718117362],[0.5326920905450377],[0.6829975973197789],[0.5825468291283165],[0.6877539726028057],[0.6540262216711783],[0.7215834904411833],[0.5824721289970036],[0.5776327494859101],[0.6993999639145777],[0.6465679228141991],[0.7440775933624351],[0.6729919568419007],[0.6862845902781807],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,[0.06978164937236092],[0.13805846678341613],[0.04850311646446362],[0.055161992716315666],[0.028802338439293113],[0.01010805529950617],[0.05687761388445997],[0.16921705663737308],[0.14105593989338785],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,[0.28700023047536927],[0.22101637216550443],[0.37867742705718965],[0.1569682927696152],[0.1550885824691576],[0.19528790809741672],[0.39375638651155226],[0.25178443803869777],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,[0.003900869433484885],[0.03790850420055871],[0.04132990272765698],[0.09595078410300265],[0.0005206287354092975],[0.10836652774042993],[0.008183512751547533],[0.12554425488600557],[0.05695732817345333],[0.07432426332091165],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,[0.5755755292959813],[0.5275527954066715],[0.612885973391178],[0.6147085628308501],[0.6513138518114816],[0.6330704576649343],[0.5936958131059636],[0.5953857157215874],[0.6141799578305036],[0.5509368784249185],[0.5798138760664623],[0.638569099748863],[0.6026881270781219],[0.6395319806688622],[0.6045996951002499],[0.5879002369073204],[0.5488706195378745],[0.6183631555073658],[0.6564793616822548],[0.5447793404144514],[0.5923515260671451],[0.6122101444771889],[0.6382944182551458],[0.5572193216333313],[0.6149823287680874],[0.5906769968193264],[0.6375697572351888],[0.5998476229905204],[0.5893779512945905],[0.5363713883964951],[0.5538593781953388],[0.6399785489380343],[0.6487230769681435],[0.5989847788603373],[0.6023077530168682],[0.6195592554614602],[0.6532358459422478],[0.6551723233227282],[0.6005555855972835],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,[0.9001625118609552],[0.8361530279943452],[0.8544476752136858],[0.8595074997889788],[0.8746072910060346],[0.8793065408916351],[0.8517148521211233],[0.8532051572946305],[0.8637366618239264],[0.8535703208082875],[0.8465661946376333],[0.8613768800130823],[0.8673380857599677],[0.8749475942793461],[0.8759418934910471],[0.8807284216668164],[0.8660441057023202],[0.870770728355366],[0.8750246960922755],[0.871424762581399],[0.8574867382284563],[0.8574466004907514],[0.8734150751641377],[0.8704345283965671],[0.8664122857989054],[0.8726275915413005],[0.8601103228545336],[0.8757058348054918],[0.8303884570477449],[0.8848586777721033],[0.8621058517282991],[0.8535739243805297],[0.8593736756223631],[0.862786002623916],[0.8661770893880075],[0.8653082888849782],[0.8522229407557292],[0.8832507799002852],[0.8573895474094614],[0.8557196567177524],[0.8622919770389643],[0.8584011439316551],[0.8652124404873797],[0.8748011228108397],[0.8652265677659565],[0.8664601129820287],[0.8748203285700203],[0.8591306503596055],[0.8728061214222496],[0.855899345182451],[0.8511206648841488],[0.8791669852105021],[0.8746086816757942],[0.8661503950079832],[0.8805273738921083],[0.8895710836993109],[0.8607011468261843],[0.849290896022959],[0.8613246844725475],[0.8711871116295327],[0.871061685114766],[0.8855015233010415],[0.8840269609229872],[0.902127198646577],[0.8978508707331747],[0.8755694295519422],[0.8955650255062149],,,,,,,,,,,,,,,,,,,,,,
9,[0.41490404048625323],[0.39147285832169837],[0.4020785459256154],[0.4850155859273769],[0.4246472962412147],[0.5191882256541448],[0.5011744863396681],[0.4105539975993136],[0.41936309184394943],[0.3656101246332676],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
