ID;Q_mean;slope_hfd;bfi;hfd_mean;Q5;Q95;high_q_freq;high_q_dur;low_q_freq;low_q_dur;zero_q_freq
2999200;0.83;2.47;0.61;152.12;0.20;2.69;10.12;10.12;8.12;8.12;0.00
6970250;0.81;2.21;0.55;149.31;0.17;3.56;16.67;14.46;16.89;12.41;0.00
6983750;4.61;4.51;0.63;850.26;0.69;14.25;2.50;1.10;83.40;49.60;0.00
6975110;0.43;1.30;0.60;78.95;0.14;1.71;12.17;11.12;0.05;0.05;0.00
6978650;0.05;nan;0.08;10.18;0.00;0.31;23.00;365.11;342.11;80.67;0.94
2909100;2.25;nan;0.26;420.66;0.00;13.71;67.75;154.38;201.12;138.62;0.50
2912950;0.15;nan;0.06;30.61;0.00;0.00;17.30;365.20;347.90;97.80;0.95
2908305;0.55;4.53;0.61;100.26;0.07;1.89;9.37;7.53;80.21;70.89;0.00
6972430;0.74;0.81;0.87;136.25;0.40;1.06;0.00;0.00;0.00;0.00;0.00
2903100;1.01;5.51;0.44;187.07;0.02;4.95;44.60;17.40;160.70;126.30;0.02
2906901;0.45;5.29;0.69;83.22;0.05;1.12;0.00;0.00;89.04;74.17;0.00
2906900;0.45;5.12;0.68;82.08;0.04;1.15;0.00;0.00;83.11;69.80;0.00
6970700;1.37;3.67;0.55;249.79;0.17;5.97;17.73;15.80;94.40;82.03;0.00
2909350;0.55;2.78;0.57;101.15;0.00;1.97;8.50;2.90;45.10;38.70;0.07
6972400;0.69;1.97;0.60;127.08;0.21;2.17;3.70;3.70;0.00;0.00;0.00
2998401;0.44;11.95;0.51;80.39;0.00;1.88;124.00;113.50;208.25;139.12;0.00
6971650;0.94;2.10;nan;173.12;0.00;3.34;13.38;13.75;46.62;33.88;0.13
6985050;4.71;3.57;0.46;865.32;0.34;16.87;9.60;1.60;87.50;13.10;0.02
6978600;0.37;1.37;0.43;69.29;0.08;1.18;18.22;17.22;16.89;6.00;0.00
2902700;2.30;1.60;0.75;423.32;1.09;5.09;0.00;0.00;0.00;0.00;0.00
6977100;0.50;0.78;0.75;91.40;0.25;1.28;0.00;0.00;0.00;0.00;0.00
6970120;1.09;2.07;0.55;200.70;0.28;3.67;11.24;10.68;9.16;2.96;0.00
2908500;0.42;3.33;0.52;78.51;0.00;1.32;7.40;2.90;107.20;84.10;0.29
6971550;0.90;2.39;nan;166.03;0.13;3.45;16.00;15.50;19.83;16.83;0.00
2998150;0.26;nan;0.26;47.56;0.00;1.60;163.17;262.83;227.17;146.50;0.52
2904800;2.35;4.20;0.40;434.98;0.13;10.15;33.22;19.89;131.67;96.00;0.00
6975050;0.85;2.31;0.71;156.34;0.24;1.94;0.00;0.00;0.00;0.00;0.00
2903400;1.84;nan;0.33;342.94;0.00;8.94;119.82;106.89;200.40;125.76;0.46
2911095;0.21;2.37;0.69;36.87;0.06;0.55;0.00;0.00;0.05;0.05;0.00
2905800;0.83;4.88;0.44;157.11;0.00;3.24;15.00;7.20;134.80;94.00;0.30
2908102;0.33;0.68;0.83;59.78;0.18;0.48;0.00;0.00;0.00;0.00;0.00
2903200;0.21;nan;0.27;38.85;0.00;1.06;111.00;365.22;254.22;123.89;0.70
2999910;0.51;12.68;0.34;94.41;0.00;2.65;115.63;87.71;226.96;147.61;0.00
2906850;0.68;5.55;0.50;125.95;0.00;2.68;11.70;4.10;122.00;92.50;0.08
6975700;0.23;1.02;0.58;42.05;0.07;0.48;7.90;6.90;0.10;0.10;0.00
2998451;0.12;6.90;0.52;22.64;0.00;0.57;70.08;61.42;173.96;136.71;0.11
6970560;0.83;2.29;0.46;150.40;0.11;3.52;22.06;18.12;59.19;42.00;0.00
6985100;6.29;2.30;0.61;1154.97;1.03;16.14;0.89;0.33;25.22;2.78;0.00
2909900;0.56;nan;0.26;106.06;0.00;2.87;79.00;160.70;166.90;68.80;0.46
2907100;1.70;4.75;0.58;316.38;0.15;5.68;10.50;3.60;106.60;85.50;0.00
2903600;0.66;6.72;0.53;120.47;0.03;2.76;74.19;47.40;179.40;130.94;0.00
2902600;3.24;1.29;0.76;593.90;1.69;7.64;0.00;0.00;0.00;0.00;0.00
2903050;0.70;7.37;0.52;129.48;0.03;2.87;84.21;31.35;184.73;127.06;0.00
6984800;1.57;2.46;0.65;290.09;0.18;5.02;1.56;0.67;29.78;19.00;0.00
2909700;0.45;2.71;0.43;82.85;0.04;2.10;32.30;29.50;118.90;93.50;0.00
2912200;0.10;nan;0.39;17.96;0.00;0.34;51.56;94.67;146.11;89.89;0.35
2906650;1.08;nan;0.35;201.98;0.00;4.55;26.70;111.90;198.90;103.20;0.54
6971401;1.09;2.10;0.61;199.19;0.15;2.37;2.42;2.42;39.71;17.10;0.00
6970600;0.90;2.36;0.57;166.54;0.21;2.92;11.00;9.70;9.60;0.60;0.00
6971200;1.59;2.86;0.53;292.16;0.29;6.69;13.56;7.11;38.33;33.33;0.00
2904200;1.11;3.07;0.50;204.72;0.16;4.49;13.70;8.60;65.80;65.50;0.00
2912600;0.46;2.60;0.70;83.86;0.11;1.25;0.02;0.02;3.80;3.80;0.00
2908100;0.37;1.07;0.78;68.75;0.15;0.76;0.00;0.00;0.21;0.21;0.00
6975010;0.57;1.77;0.54;105.06;0.02;1.16;0.02;0.02;57.26;1.31;0.00
6976700;0.50;2.10;0.48;93.95;0.11;1.65;12.10;9.70;18.50;3.70;0.00
2901300;1.07;7.66;0.42;198.95;0.03;5.51;80.50;57.07;196.57;137.61;0.00
6971250;1.09;nan;0.37;212.71;0.00;4.09;13.88;19.38;153.50;113.00;0.49
2903950;0.19;nan;0.12;36.06;0.00;0.91;54.44;365.22;310.78;121.33;0.85
6972700;1.34;2.57;0.61;246.36;0.21;3.99;2.50;2.70;28.80;12.90;0.01
2998400;0.45;11.85;0.50;82.66;0.00;2.12;126.62;125.85;222.23;148.38;0.00
6983400;0.59;nan;0.37;110.91;0.00;2.45;99.89;244.56;200.44;39.67;0.55
2911940;0.42;nan;0.35;74.64;0.00;1.59;35.62;58.25;129.12;66.25;0.36
2909160;0.77;4.66;0.64;141.86;0.12;2.34;4.07;2.12;68.98;52.41;0.00
2910460;0.89;2.57;0.55;164.14;0.11;3.01;6.50;4.00;37.50;26.50;0.01
2912500;0.83;3.88;0.46;153.18;0.07;3.22;18.60;10.40;112.50;69.10;0.00
2910310;0.53;2.48;0.60;96.83;0.10;2.11;8.96;8.52;25.69;24.52;0.00
6976900;0.72;nan;0.27;135.31;0.00;3.68;125.60;365.20;239.60;80.20;0.66
6976500;0.68;3.33;0.29;126.99;0.00;3.20;45.40;55.00;156.60;77.70;0.26
2903930;0.07;nan;0.00;16.29;0.00;0.00;6.20;365.20;286.00;190.60;0.98
6971710;0.88;1.42;0.76;160.70;0.35;2.14;0.00;0.00;0.00;0.00;0.00
6971300;0.93;3.33;nan;173.06;0.14;4.05;18.75;13.00;102.12;85.12;0.00
2906600;0.98;5.72;0.50;181.13;0.00;3.38;6.80;3.60;127.80;97.50;0.14
6977200;0.13;nan;0.11;26.21;0.00;0.51;48.90;365.20;316.30;84.70;0.87
6978251;0.27;1.17;0.56;50.03;0.07;1.08;16.74;15.62;1.93;0.71;0.00
2903428;0.76;5.33;0.60;139.92;0.09;2.69;42.90;26.39;120.97;99.18;0.00
6975400;1.02;nan;0.20;196.98;0.00;4.62;129.00;365.33;236.33;79.33;0.65
